German,English
"Rechts-, Wirtschafts- und Sozialwissenschaften allgemein","Law, Economics and Social Sciences (general)"
"Interdisz.Studien(Schwerp.Rechts-,Wirt.-u. Sozialw)","Interdisc. St. (spec. in Law, Econ. and Soc. Sci.)"
Lernbereich Gesellschaftslehre,Area of study: Social Studies
Regionalwissenschaften,Regional Studies
Lateinamerika-Studien,Latin American Studies
Ost- und Südosteuropa-Studien,East and Southeast European Studies
Sonstige Regionalwissenschaften,Other regional studies
Politikwissenschaft,Political Science
Politikwissenschaft/Politologie,Political Science
Sozialwissenschaften/Soziologie,Social Sciences/Sociology
Sozialkunde,Social Studies
Sozialwissenschaften,Social Sciences
Soziologie,Sociology
Sozialwesen,Applied Social Science
Soziale Arbeit,Social Work
Sozialpädagogik,Social Pedagogy
Sozialwesen,Applied Social Science
Rechtswissenschaften,Law
Rechtswissenschaft,Law
Wirtschaftsrecht,Business Law
Verwaltungswissenschaften,Administrative Sciences
Arbeits- und Berufsberatung,Occupational Guidance and Career Counselling
Arbeitsverwaltung,Labour Administration
Archivwesen,Archive Studies
Auswärtige Angelegenheiten,Foreign Affairs Administration
Bankwesen,Banking
Bibliothekswesen,Librarianship
Bundeswehrverwaltung,Armed Forces Administration
Finanzverwaltung,Financial Administration
Innere Verwaltung,Internal Administration
Justizvollzug,Law Enforcement
Polizei/Verfassungsschutz,Police/Protection of the Constitution
Rechtspflege,Administration of Justice
Sozialversicherung,Social Security Administration
Verkehrswesen,Transportation Systems
Verwaltungswissenschaft/-wesen,Administrative Science/Public Administration
Zoll- und Steuerverwaltung,Customs and Tax Administration
Wirtschaftswissenschaften,Business and Economics 
Arbeitslehre/Wirtschaftslehre,Work Studies/Business Studies
Betriebswirtschaftslehre,Business Administration
Europäische Wirtschaft,European Economic Studies
Medienwirtschaft/Medienmanagement,Media Economics/Media Management
Internationale Betriebswirtschaft/Management,International Business Studies/Management
Sportmanagement/Sportökonomie,Sports Management/Sports Economics
Tourismuswirtschaft,Tourism Management
Verkehrswirtschaft,Transport Economics
Volkswirtschaftslehre,Economics
Wirtschaftspädagogik,Business and Economics Education
Wirtschaftswissenschaften,Business and Economics
Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt,Business Engineering specialising in Economics
Facility Management,Facility Management
Wirtschaftsingenieurw.m.wirtschafts-wiss.Schwerpkt.,Business Engineering specialising in Economics
Psychologie,Psychology
Psychologie,Psychology
Erziehungswissenschaften,Educational Sciences
Ausländerpädagogik,Immigrant Education
Berufs- und Wirtschaftspädagogik,"Vocational, Business and Economics Education"
Erwachsenenbildung und außerschulische Jugendbild.,Adult Education and Extracurricular Youth Educat.
Erziehungswissenschaft (Pädagogik),Educational Science (Pedagogy)
Pädagogik der frühen Kindheit,Early Childhood Education
Grundschul-/Primärstufenpädagogik,Primary School Education/Primary Level Education
Sachunterricht (einschließlich Schulgarten),General Studies (including School Garden)
Schulpädagogik,School Pedagogy
Sonderpädagogik,Special Needs Education
Kommunikationswissenschaft/Publizistik,Communication Science/Journalism
Kommunikationswissenschaft/Publizistik,Communication Science/Journalism
"Mathematik, Naturwissenschaften","Mathematics, Natural Sciences"
"Mathematik, Naturwissenschaften allgemein","Mathematics, Natural Sciences (general)"
Interdisz. Studien (Schwerp. Naturwissenschaften),Interdisc. Studies (special. in Natural Sciences)
Lernbereich Naturwissenschaft/Sachunterricht,Area of study: Natural Sciences/General Studies
Statistik,Statistics
Mathematik,Mathematics
Mathematik,Mathematics
Technomathematik,Technomathematics
Wirtschaftsmathematik,Business Mathematics
"Physik, Astronomie","Physics, Astronomy"
Astrophysik und Astronomie,Astrophysics and Astronomy
Physik,Physics
Chemie,Chemistry
Biochemie,Biochemistry
Chemie,Chemistry
Lebensmittelchemie,Food Chemistry
Pharmazie,Pharmacy
Pharmazie,Pharmacy
Biologie,Biology
Anthropologie (Humanbiologie),Anthropology (Human Biology)
Biologie,Biology
Biomedizin,Biomedicine
Biotechnologie,Biotechnology
Geowissenschaften (ohne Geographie),Geosciences (excl. Geography)
Geologie/Paläontologie,Geology/Palaeontology
Geophysik,Geophysics
Geoökologie,Geoecology
Geowissenschaften allgemein,Geosciences (general)
Meteorologie,Meteorology
Mineralogie,Mineralogy
Ozeanografie,Oceanography
Geographie,Geography
Geografie/Erdkunde,Geography
Landschaftsökologie/Biogeographie,Landscape Ecology/Biogeography
Wirtschafts-/Sozialgeografie,Economic/Social Geography
Humanmedizin/Gesundheitswissenschaften,Human Medicine / Health Sciences
Gesundheitswissenschaften allgemein,Health Sciences (general)
Gesundheitspädagogik,Health Education
Gesundheitswissenschaften/-management,Health Science/Health Management
Nichtärztliche Heilberufe/Therapien,Non-medical Healthcare Professions/Therapies
Pflegewissenschaft/-management,Nursing Science/Nursing Management
Humanmedizin (ohne Zahnmedizin),Human Medicine (excl. Dentistry)
Medizin (Allgemein-Medizin),Medicine (General Medicine)
Zahnmedizin,Dentistry
Zahnmedizin,Dentistry
"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin","Agricultural, Forest and Nutritional Sciences, Veterinary medicine"
Veterinärmedizin,Veterinary Medicine
Tiermedizin/Veterinärmedizin,Veterinary Medicine
"Landespflege, Umweltgestaltung","Land Management Engineering, Environmental Design"
Landespflege/Landschaftsgestaltung,Land Management Engineering/Landscape Design
Meliorationswesen,Ground Improvement
Naturschutz,Nature Conservation
"Agrarwissenschaften, Lebensmittel- und Getränketechnologie","Agricultural Science, Food- and Beverage Technology"
Agrarbiologie,Agricultural Biology
Agrarökonomie,Agricultural Economics
Agrarwissenschaft/Landwirtschaft,Agricultural Science/Agriculture
Brauwesen/Getränketechnologie,Brewing Science/Beverage Technology
Gartenbau,Horticulture
Lebensmitteltechnologie,Food Technology
Milch- und Molkereiwirtschaft,Dairy Farming
Pflanzenproduktion,Plant Production
Tierproduktion,Animal Production
Weinbau und Kellerwirtschaft,Viticulture and Oenology
"Forstwissenschaft, Holzwirtschaft","Forestry, Wood Science"
"Forstwissenschaft, -wirtschaft","Forest Science, Forestry"
Holzwirtschaft,Wood Science
Ernährungs- und Haushaltswissenschaften,Nutritional and Domestic Science
Ernährungswissenschaft,Nutritional Science
Haushalts- und Ernährungswissenschaft,Domestic and Nutritional Sciences
Haushaltswissenschaft,Domestic Science
Ingenieurwissenschaften,Engineering Sciences
Ingenieurwesen allgemein,Engineering (general )
Angewandte Systemwissenschaften,Applied Systems Science
Interdisz. Studien (Schwerp. Ingenieurwissensch.),Interdisc. Studies (specialising in Engineering)
Lernbereich Technik,Area of study: Technology
Mechatronik,Mechatronics
Medientechnik,Media Technology
Regenerative Energien,Renewable Energy
Werken (technisch)/Technologie,Handicrafts (technical)/Technology
"Bergbau, Hüttenwesen ","Mining, Metallurgy"
Archäometrie (Ingenieurarchäologie),Archaeometry (Archaeological Engineering)
Bergbau/Bergtechnik,Mining/Mine Engineering
Hütten- und Gießereiwesen,Metallurgy and Foundry
Markscheidewesen,Mine Surveying
Maschinenbau/Verfahrenstechnik,Mechanical Engineering / Process Engineering
Abfallwirtschaft,Waste Management
Augenoptik,Ophthalmic Optics
Chemie-Ingenieurwesen/Chemieverfahrens-technik,Chemical Engineering/Chemical Process Engineering
Druck- und Reproduktionstechnik,Printing and Reproduction Technology
Energieverfahrenstechnik,Energy Process Engineering
Feinwerktechnik,Precision Engineering
Fertigungs-/Produktionstechnik,Manufacturing Technology/Production Engineering
Gesundheitstechnik,Health Technology
Glastechnik/Keramik,Glass Technology/Ceramics
Holz-/Fasertechnik,Wood and Fibre Technology
Kunststofftechnik,Plastics Technology
Maschinenbau/-wesen,Mechanical Engineering
Metalltechnik,Metals Technology
Physikalische Technik/Mechanische Verfahrenstechnik,Engineering Physics/Mechanical Process Engineering
Technische Kybernetik,Technical Cybernetics
Textil- und Bekleidungstechnik/-gewerbe,Textile and Clothing Technology/Industry
Transport-/Fördertechnik,Transport and Conveying Technology
Umwelttechnik (einschließlich Recycling),Environmental Technology (including Recycling)
Verfahrenstechnik,Process Engineering
Versorgungstechnik,Supply Technology
Elektrotechnik und Informationstechnik,Electrical Engineering and Information Engineering
Elektronische Energietechnik,Electrical Power Engineering
Elektrotechnik/Elektronik,Electrical Engineering/Electronics
Mikroelektronik,Microelectronics
Mikrosystemtechnik,Microsystems Technology
Kommunikations- und Informationstechnik,"Communication Technology, Information Engineering"
Optoelektronik,Optoelectronics
"Verkehrstechnik, Nautik","Traffic Engineering, Nautical Science"
Fahrzeugtechnik,Automotive Technology
Luft- und Raumfahrttechnik,Aeronautical and Aerospace Engineering
Nautik/Seefahrt,Nautical Science/Maritime Studies
Schiffbau/Schiffstechnik,Naval Architecture/Ship Technology
Verkehrsingenieurwesen,Transport Engineering
"Architektur, Innenarchitektur",Architecture and Interior Architecture
Architektur,Architecture
Innenarchitektur,Interior Architecture
Raumplanung,Spatial Planning
Raumplanung,Spatial Planning
Umweltschutz,Environmental Protection
Bauingenieurwesen,Civil Engineering
Bauingenieurwesen/Ingenieurbau,Civil Engineering/Structural Engineering
Holzbau,Timber Construction
Stahlbau,Steel Construction
Wasserbau,Hydraulic Engineering
Wasserwirtschaft,Water Management
Kartografie,Cartography
Vermessungswesen (Geodäsie),Surveying (Geodesy)
Wirtschaftsingenieurwesen mit ingenieurwissenschaftlichem Schwerpunkt,Business Engineering specialising in Engineering Sciences
Wirtschaftsingenieurw. m. ingenieurwiss. Schwerpkt.,Business Engineering spec. in Engineering Sciences
Informatik,Computer Science
Bioinformatik,Bioinformatics
Computer- und Kommunikationstechniken,Computer and Communication Technology
Informatik,Computer Science
Ingenieurinformatik/Technische Informatik,Computational Engineer./Technical Computer Science
Medieninformatik,Media Informatics
Medizinische Informatik,Medical Informatics
Wirtschaftsinformatik,Business Informatics
Materialwissenschaft und Werkstofftechnik,Materials Science and Materials Engineering
Materialwissenschaft,Materials Science
Werkstofftechnik,Materials Technology
"Kunst, Kunstwissenschaft","Art, Art Theory"
"Kunst, Kunstwissenschaft allgemein","Art, Art Theory (general)"
"Interdisz. Studien (Schwerp. Kunst, Kunstwissenschaft)","Interdisc. Studies (special. in Art, Art Theory)"
Kunsterziehung,Arts Education
"Kunstgeschichte, Kunstwissenschaft","Art History, Art Theory"
Restaurierungskunde,Restoration Studies
Bildende Kunst,Fine Arts
Bildende Kunst/Grafik,Fine Arts/Graphics
Bildhauerei/Plastik,Sculpting/Statuary Art
Malerei,Painting
Neue Medien,New Media
Gestaltung,Design
Angewandte Kunst,Applied Art
Edelstein- und Schmuckdesign,Gemstone and Jewellery Design
Grafikdesign/Kommunikations-gestaltung,Graphic Design/Communication Design
Industriedesign/Produktgestaltung,Industrial Design/Product Design
Textilgestaltung,Textile Design
Werkerziehung,Handicrafts Education
"Darstellende Kunst, Film und Fernsehen, Theaterwissenschaften","Performing Arts, Film and Television Studies, Theatre Studies"
Darstellende Kunst/Bühnenkunst/Regie,Performing Arts/Stagecraft/Directing
Film und Fernsehen,Film and Television Studies
Schauspiel,Drama Studies
Tanzpädagogik,Dance Education
Theaterwissenschaft,Theatre Studies
"Musik, Musikwissenschaft","Music, Musicology"
Dirigieren,Conducting
Gesang,Singing
Instrumentalmusik,Instrumental Music
Jazz und Popularmusik,Jazz and Popular Music
Kirchenmusik,Church Music
Komposition,Composition
Musikerziehung,Music Education
Musikwissenschaft/-geschichte,Musicology/History of Music
Orchestermusik,Orchestral Music
Rhythmik,Rhythmics
Tonmeister,Sound Engineering
Außerhalb der Studienbereichsgliederung,Not specified
Außerhalb der Studienbereichsgliederung,Not specified
Studienkolleg,Foundation Course
Sonstige Fächer,Other subjects
